year,Bangkok,Chon Buri,Kanchanaburi,Phra Nakhon Si Ayutthaya,Phetchaburi,Chiang Mai,Phitsanulok,Nakhon Ratchasima,Khon Kaen,Krabi,Songkhla
2549,36172138,7236704,4670558,3373929,3643411,5590326,1900108,4967023,2458854,1732951,2579480
2550,35953546,7882541,4791756,3784617,3912817,5356867,2071448,5429119,2570011,2126107,2645770
2551,35110693,7067325,5713210,3659402,3681797,5313352,2511009,4790389,2393512,2945946,2343167
2552,30037911,5649895,4583630,3583231,3919908,4343090,1655351,3929523,2443631,2212241,2609045
2553,38222903,10062286,5741202,6534638,4543673,5040917,2156814,5232940,2749436,2386266,2946470
2554,43763002,10823369,5748241,4890949,4949167,5661673,2100184,5771424,3210374,2665530,4024499
2555,47185031,11224397,5996482,6066545,5010666,6570642,2543766,6198758,3247176,3160738,4363808
2556,50568902,11736488,6413556,6226424,5380663,7089792,2714770,6804563,3593042,3761234,5763439
2557,50972772,10843412,6641111,6698561,5700319,8665502,2811609,7063059,3669884,4735217,6124972
2558,56515597,11742224,7574278,6994538,5923321,9286307,2968364,7879571,3881646,5575541,6524676